Learning_rate;Hidden_size;Num_layers;MSE;RMSE
0.01;16;3;14.667935371398926;3.829874038696289
0.01;16;5;18.000715255737305;4.242724895477295
0.01;16;8;20.3351993560791;4.509456634521484
0.01;32;3;15.145234107971191;3.8916878700256348
0.01;32;5;17.546987533569336;4.188912391662598
0.01;32;8;48.88783264160156;6.991983413696289
0.01;64;3;16.86790657043457;4.1070556640625
0.01;64;5;16.21282958984375;4.026515960693359
0.01;64;8;23.002456665039062;4.796087741851807
0.005;16;3;14.014406204223633;3.743582010269165
0.005;16;5;14.982348442077637;3.870703935623169
0.005;16;8;17.088191986083984;4.133786678314209
0.005;32;3;15.667608261108398;3.958232879638672
0.005;32;5;15.689082145690918;3.960944652557373
0.005;32;8;18.18560028076172;4.264457702636719
0.005;64;3;14.353111267089844;3.7885501384735107
0.005;64;5;17.01081085205078;4.124416351318359
0.005;64;8;22.97418212890625;4.7931389808654785
0.001;16;3;12.453245162963867;3.5289156436920166
0.001;16;5;12.681798934936523;3.5611512660980225
0.001;16;8;15.228206634521484;3.9023334980010986
0.001;32;3;12.668672561645508;3.559307813644409
0.001;32;5;12.95175552368164;3.5988547801971436
0.001;32;8;14.934255599975586;3.8644864559173584
0.001;64;3;12.686609268188477;3.561826705932617
0.001;64;5;13.6253080368042;3.6912474632263184
0.001;64;8;14.189740180969238;3.7669272422790527
