Sequence_length;Hidden_size;Num_layers;MSE;RMSE
1;8;1;14.978915214538574;3.870260238647461
1;8;3;18.780141830444336;4.333606243133545
1;16;1;14.59482479095459;3.820317268371582
1;16;3;15.276961326599121;3.9085752964019775
5;8;1;15.298778533935547;3.911365270614624
5;8;3;18.797765731811523;4.335638999938965
5;16;1;14.892950057983398;3.8591384887695312
5;16;3;16.930892944335938;4.114716529846191
10;8;1;15.07000732421875;3.8820106983184814
10;8;3;16.412324905395508;4.051212787628174
10;16;1;14.072249412536621;3.7512996196746826
10;16;3;16.463565826416016;4.057531833648682
20;8;1;15.134222030639648;3.890272855758667
20;8;3;17.588083267211914;4.193814754486084
20;16;1;14.32981014251709;3.785473585128784
50;16;1;15.246384620666504;3.9046618938446045
50;32;1;15.032556533813477;3.8771841526031494
100;16;1;14.684539794921875;3.8320412635803223
100;32;1;14.67257308959961;3.830479383468628
